Group,Subgroup,Time_Period,Value,Risk
By Age,18 - 29 years,2020-04-23,40.2,Extreme
By Age,30 - 39 years,2020-04-23,34.4,Moderate
By Age,40 - 49 years,2020-04-23,34.1,Moderate
By Age,50 - 59 years,2020-04-23,31.0,Moderate
By Age,60 - 69 years,2020-04-23,24.9,Mild
By Age,70 - 79 years,2020-04-23,16.4,Mild
By Age,80 years and above,2020-04-23,14.6,Mild
By Sex,Male,2020-04-23,26.1,Mild
By Sex,Female,2020-04-23,35.4,High
By Race/Hispanic ethnicity,Hispanic or Latino,2020-04-23,36.3,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-04-23,29.0,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-04-23,32.8,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-04-23,26.3,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-04-23,38.2,High
By Education,Less than a high school diploma,2020-04-23,37.3,High
By Education,High school diploma or GED,2020-04-23,30.6,Moderate
By Education,Some college/Associate's degree,2020-04-23,33.5,Moderate
By Education,Bachelor's degree or higher,2020-04-23,27.0,Mild
By State,Alabama,2020-04-23,25.6,Mild
By State,Alaska,2020-04-23,27.7,Mild
By State,Arizona,2020-04-23,32.3,Moderate
By State,Arkansas,2020-04-23,33.7,Moderate
By State,California,2020-04-23,30.8,Moderate
By State,Colorado,2020-04-23,32.6,Moderate
By State,Connecticut,2020-04-23,34.9,Moderate
By State,Delaware,2020-04-23,29.9,Mild
By State,District of Columbia,2020-04-23,31.4,Moderate
By State,Florida,2020-04-23,32.6,Moderate
By State,Georgia,2020-04-23,31.9,Moderate
By State,Hawaii,2020-04-23,32.3,Moderate
By State,Idaho,2020-04-23,26.9,Mild
By State,Illinois,2020-04-23,31.1,Moderate
By State,Indiana,2020-04-23,31.8,Moderate
By State,Iowa,2020-04-23,22.5,Mild
By State,Kansas,2020-04-23,26.4,Mild
By State,Kentucky,2020-04-23,31.6,Moderate
By State,Louisiana,2020-04-23,34.4,Moderate
By State,Maine,2020-04-23,29.5,Mild
By State,Maryland,2020-04-23,27.7,Mild
By State,Massachusetts,2020-04-23,37.0,High
By State,Michigan,2020-04-23,32.5,Moderate
By State,Minnesota,2020-04-23,28.5,Mild
By State,Mississippi,2020-04-23,30.3,Moderate
By State,Missouri,2020-04-23,30.4,Moderate
By State,Montana,2020-04-23,22.8,Mild
By State,Nebraska,2020-04-23,24.2,Mild
By State,Nevada,2020-04-23,31.4,Moderate
By State,New Hampshire,2020-04-23,31.3,Moderate
By State,New Jersey,2020-04-23,31.4,Moderate
By State,New Mexico,2020-04-23,27.9,Mild
By State,New York,2020-04-23,36.1,High
By State,North Carolina,2020-04-23,30.0,Mild
By State,North Dakota,2020-04-23,21.7,Mild
By State,Ohio,2020-04-23,31.1,Moderate
By State,Oklahoma,2020-04-23,28.6,Mild
By State,Oregon,2020-04-23,31.5,Moderate
By State,Pennsylvania,2020-04-23,31.0,Moderate
By State,Rhode Island,2020-04-23,27.6,Mild
By State,South Carolina,2020-04-23,27.8,Mild
By State,South Dakota,2020-04-23,22.1,Mild
By State,Tennessee,2020-04-23,28.2,Mild
By State,Texas,2020-04-23,29.7,Mild
By State,Utah,2020-04-23,28.9,Mild
By State,Vermont,2020-04-23,30.6,Moderate
By State,Virginia,2020-04-23,28.5,Mild
By State,Washington,2020-04-23,30.6,Moderate
By State,West Virginia,2020-04-23,28.8,Mild
By State,Wisconsin,2020-04-23,27.1,Mild
By State,Wyoming,2020-04-23,24.9,Mild
By Age,18 - 29 years,2020-05-07,42.0,Extreme
By Age,30 - 39 years,2020-05-07,34.3,Moderate
By Age,40 - 49 years,2020-05-07,31.9,Moderate
By Age,50 - 59 years,2020-05-07,31.3,Moderate
By Age,60 - 69 years,2020-05-07,22.0,Mild
By Age,70 - 79 years,2020-05-07,16.4,Mild
By Age,80 years and above,2020-05-07,11.0,Mild
By Sex,Male,2020-05-07,26.7,Mild
By Sex,Female,2020-05-07,33.1,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-07,36.2,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-07,27.8,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-07,33.0,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-07,26.3,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-07,38.9,High
By Education,Less than a high school diploma,2020-05-07,36.6,High
By Education,High school diploma or GED,2020-05-07,32.8,Moderate
By Education,Some college/Associate's degree,2020-05-07,31.5,Moderate
By Education,Bachelor's degree or higher,2020-05-07,24.2,Mild
By State,Alabama,2020-05-07,27.2,Mild
By State,Alaska,2020-05-07,27.4,Mild
By State,Arizona,2020-05-07,34.2,Moderate
By State,Arkansas,2020-05-07,29.1,Mild
By State,California,2020-05-07,31.4,Moderate
By State,Colorado,2020-05-07,29.7,Mild
By State,Connecticut,2020-05-07,29.1,Mild
By State,Delaware,2020-05-07,24.9,Mild
By State,District of Columbia,2020-05-07,36.2,High
By State,Florida,2020-05-07,27.6,Mild
By State,Georgia,2020-05-07,29.5,Mild
By State,Hawaii,2020-05-07,20.4,Mild
By State,Idaho,2020-05-07,25.0,Mild
By State,Illinois,2020-05-07,35.7,High
By State,Indiana,2020-05-07,31.5,Moderate
By State,Iowa,2020-05-07,20.3,Mild
By State,Kansas,2020-05-07,25.1,Mild
By State,Kentucky,2020-05-07,29.6,Mild
By State,Louisiana,2020-05-07,34.6,Moderate
By State,Maine,2020-05-07,28.9,Mild
By State,Maryland,2020-05-07,30.1,Moderate
By State,Massachusetts,2020-05-07,28.7,Mild
By State,Michigan,2020-05-07,27.0,Mild
By State,Minnesota,2020-05-07,22.9,Mild
By State,Mississippi,2020-05-07,38.3,High
By State,Missouri,2020-05-07,37.8,High
By State,Montana,2020-05-07,24.9,Mild
By State,Nebraska,2020-05-07,29.6,Mild
By State,Nevada,2020-05-07,34.0,Moderate
By State,New Hampshire,2020-05-07,30.4,Moderate
By State,New Jersey,2020-05-07,36.3,High
By State,New Mexico,2020-05-07,30.2,Moderate
By State,New York,2020-05-07,33.0,Moderate
By State,North Carolina,2020-05-07,25.9,Mild
By State,North Dakota,2020-05-07,25.4,Mild
By State,Ohio,2020-05-07,26.4,Mild
By State,Oklahoma,2020-05-07,27.2,Mild
By State,Oregon,2020-05-07,26.2,Mild
By State,Pennsylvania,2020-05-07,28.4,Mild
By State,Rhode Island,2020-05-07,26.9,Mild
By State,South Carolina,2020-05-07,27.9,Mild
By State,South Dakota,2020-05-07,26.1,Mild
By State,Tennessee,2020-05-07,29.6,Mild
By State,Texas,2020-05-07,32.4,Moderate
By State,Utah,2020-05-07,26.0,Mild
By State,Vermont,2020-05-07,31.8,Moderate
By State,Virginia,2020-05-07,26.8,Mild
By State,Washington,2020-05-07,28.5,Mild
By State,West Virginia,2020-05-07,34.6,Moderate
By State,Wisconsin,2020-05-07,25.6,Mild
By State,Wyoming,2020-05-07,22.5,Mild
By Age,18 - 29 years,2020-05-14,38.6,High
By Age,30 - 39 years,2020-05-14,32.2,Moderate
By Age,40 - 49 years,2020-05-14,30.7,Moderate
By Age,50 - 59 years,2020-05-14,28.4,Mild
By Age,60 - 69 years,2020-05-14,22.3,Mild
By Age,70 - 79 years,2020-05-14,13.4,Mild
By Age,80 years and above,2020-05-14,11.8,Mild
By Sex,Male,2020-05-14,24.2,Mild
By Sex,Female,2020-05-14,32.1,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-14,33.6,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-14,26.3,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-14,32.7,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-14,23.4,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-14,31.3,Moderate
By Education,Less than a high school diploma,2020-05-14,34.3,Moderate
By Education,High school diploma or GED,2020-05-14,30.5,Moderate
By Education,Some college/Associate's degree,2020-05-14,30.2,Moderate
By Education,Bachelor's degree or higher,2020-05-14,22.7,Mild
By State,Alabama,2020-05-14,20.7,Mild
By State,Alaska,2020-05-14,26.2,Mild
By State,Arizona,2020-05-14,29.0,Mild
By State,Arkansas,2020-05-14,28.7,Mild
By State,California,2020-05-14,32.3,Moderate
By State,Colorado,2020-05-14,27.6,Mild
By State,Connecticut,2020-05-14,28.7,Mild
By State,Delaware,2020-05-14,26.6,Mild
By State,District of Columbia,2020-05-14,33.3,Moderate
By State,Florida,2020-05-14,28.2,Mild
By State,Georgia,2020-05-14,27.6,Mild
By State,Hawaii,2020-05-14,24.1,Mild
By State,Idaho,2020-05-14,24.0,Mild
By State,Illinois,2020-05-14,28.5,Mild
By State,Indiana,2020-05-14,32.6,Moderate
By State,Iowa,2020-05-14,19.0,Mild
By State,Kansas,2020-05-14,26.7,Mild
By State,Kentucky,2020-05-14,27.7,Mild
By State,Louisiana,2020-05-14,27.9,Mild
By State,Maine,2020-05-14,30.6,Moderate
By State,Maryland,2020-05-14,28.3,Mild
By State,Massachusetts,2020-05-14,27.4,Mild
By State,Michigan,2020-05-14,28.5,Mild
By State,Minnesota,2020-05-14,27.1,Mild
By State,Mississippi,2020-05-14,36.1,High
By State,Missouri,2020-05-14,30.4,Moderate
By State,Montana,2020-05-14,25.7,Mild
By State,Nebraska,2020-05-14,23.3,Mild
By State,Nevada,2020-05-14,29.0,Mild
By State,New Hampshire,2020-05-14,25.2,Mild
By State,New Jersey,2020-05-14,34.4,Moderate
By State,New Mexico,2020-05-14,29.6,Mild
By State,New York,2020-05-14,26.8,Mild
By State,North Carolina,2020-05-14,28.4,Mild
By State,North Dakota,2020-05-14,26.2,Mild
By State,Ohio,2020-05-14,26.2,Mild
By State,Oklahoma,2020-05-14,25.2,Mild
By State,Oregon,2020-05-14,24.2,Mild
By State,Pennsylvania,2020-05-14,25.8,Mild
By State,Rhode Island,2020-05-14,23.9,Mild
By State,South Carolina,2020-05-14,28.5,Mild
By State,South Dakota,2020-05-14,22.3,Mild
By State,Tennessee,2020-05-14,24.8,Mild
By State,Texas,2020-05-14,28.8,Mild
By State,Utah,2020-05-14,26.1,Mild
By State,Vermont,2020-05-14,25.8,Mild
By State,Virginia,2020-05-14,26.8,Mild
By State,Washington,2020-05-14,28.9,Mild
By State,West Virginia,2020-05-14,29.3,Mild
By State,Wisconsin,2020-05-14,23.4,Mild
By State,Wyoming,2020-05-14,24.1,Mild
By Age,18 - 29 years,2020-05-21,39.1,High
By Age,30 - 39 years,2020-05-21,35.2,High
By Age,40 - 49 years,2020-05-21,31.4,Moderate
By Age,50 - 59 years,2020-05-21,29.3,Mild
By Age,60 - 69 years,2020-05-21,22.2,Mild
By Age,70 - 79 years,2020-05-21,15.0,Mild
By Age,80 years and above,2020-05-21,17.1,Mild
By Sex,Male,2020-05-21,25.4,Mild
By Sex,Female,2020-05-21,33.2,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-21,36.3,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-21,27.6,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-21,30.2,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-21,22.2,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-21,38.6,High
By Education,Less than a high school diploma,2020-05-21,40.6,Extreme
By Education,High school diploma or GED,2020-05-21,29.5,Mild
By Education,Some college/Associate's degree,2020-05-21,32.4,Moderate
By Education,Bachelor's degree or higher,2020-05-21,23.7,Mild
By State,Alabama,2020-05-21,25.2,Mild
By State,Alaska,2020-05-21,31.6,Moderate
By State,Arizona,2020-05-21,29.3,Mild
By State,Arkansas,2020-05-21,28.6,Mild
By State,California,2020-05-21,30.4,Moderate
By State,Colorado,2020-05-21,28.8,Mild
By State,Connecticut,2020-05-21,24.7,Mild
By State,Delaware,2020-05-21,24.2,Mild
By State,District of Columbia,2020-05-21,29.9,Mild
By State,Florida,2020-05-21,34.1,Moderate
By State,Georgia,2020-05-21,32.6,Moderate
By State,Hawaii,2020-05-21,19.6,Mild
By State,Idaho,2020-05-21,22.1,Mild
By State,Illinois,2020-05-21,30.3,Moderate
By State,Indiana,2020-05-21,30.5,Moderate
By State,Iowa,2020-05-21,20.6,Mild
By State,Kansas,2020-05-21,30.1,Moderate
By State,Kentucky,2020-05-21,30.8,Moderate
By State,Louisiana,2020-05-21,36.0,High
By State,Maine,2020-05-21,24.5,Mild
By State,Maryland,2020-05-21,25.8,Mild
By State,Massachusetts,2020-05-21,25.5,Mild
By State,Michigan,2020-05-21,27.5,Mild
By State,Minnesota,2020-05-21,22.8,Mild
By State,Mississippi,2020-05-21,31.9,Moderate
By State,Missouri,2020-05-21,29.0,Mild
By State,Montana,2020-05-21,24.3,Mild
By State,Nebraska,2020-05-21,22.6,Mild
By State,Nevada,2020-05-21,35.6,High
By State,New Hampshire,2020-05-21,24.6,Mild
By State,New Jersey,2020-05-21,26.2,Mild
By State,New Mexico,2020-05-21,35.4,High
By State,New York,2020-05-21,30.6,Moderate
By State,North Carolina,2020-05-21,27.5,Mild
By State,North Dakota,2020-05-21,22.1,Mild
By State,Ohio,2020-05-21,29.8,Mild
By State,Oklahoma,2020-05-21,27.3,Mild
By State,Oregon,2020-05-21,32.1,Moderate
By State,Pennsylvania,2020-05-21,28.0,Mild
By State,Rhode Island,2020-05-21,30.6,Moderate
By State,South Carolina,2020-05-21,27.0,Mild
By State,South Dakota,2020-05-21,30.4,Moderate
By State,Tennessee,2020-05-21,29.6,Mild
By State,Texas,2020-05-21,32.6,Moderate
